skills,interests,experience_years,role
html;css;javascript,web-design;backend,0,ML Engineer Intern
html;css;matplotlib,data-analysis;frontend,0,Data Scientist Intern
html;css;docker,ai;frontend,0,Data Scientist Intern
numpy;sql;excel,data-analysis;nlp;apis,0,Backend Developer Intern
python;sql;tensorflow,data-analysis;reports,0,Deep Learning Engineer Intern
django;react;api,frontend;ui-development,2,Backend Developer Intern
html;css;javascript,web-design;frontend,0,Data Scientist Intern
python;html;statistics,machine-learning;research;web-development,1,Data Scientist Intern
docker;sql;tableau,data-visualization;machine-learning,1,Business Analyst Intern
python;powerbi;excel;tensorflow,dashboards;business-intelligence;web-development,1,ML Engineer Intern
python;tensorflow;nn,modeling;ai,1,Deep Learning Engineer Intern
python;django;html,web-development;backend,2,Data Scientist Intern
html;css;javascript,web-design;frontend,0,Data Scientist Intern
python;sql;r,ai;statistics,0,Data Scientist Intern
python;ml;statistics,machine-learning;apis,1,ML Engineer Intern
excel;sql;tableau,data-visualization;automation,0,Business Analyst Intern
javascript;statistics;git,web-development;data-analysis,1,Data Scientist Intern
javascript;react;api;aws,frontend;ui-development,2,Frontend Developer Intern
linux;docker;matplotlib;tensorflow,deployment;data-analysis;frontend,2,Deep Learning Engineer Intern
tableau;excel,data-analysis;business-intelligence,1,Business Analyst Intern
excel;powerbi;matplotlib,dashboards;reporting;etl,1,Business Analyst Intern
python;tableau;excel,dashboards;reports,1,Business Analyst Intern
excel;powerbi;sql,automation;reporting,0,Business Analyst Intern
sql;powerbi;excel,dashboards;business-intelligence,2,Business Analyst Intern
javascript;sql;excel,data-analysis;reports,0,Frontend Developer Intern
python;sql;cnn,data-analysis;apis,1,ML Engineer Intern
excel;sklearn;sql,dashboards;reporting,2,Data Scientist Intern
html;css;react,devops;frontend,1,Data Scientist Intern
python;fastapi;pandas,apis;backend,1,Backend Developer Intern
python;pytorch;cnn,computer-vision;modeling;deep-learning,1,Deep Learning Engineer Intern
python;tensorflow;cnn,computer-vision;deep-learning,3,Deep Learning Engineer Intern
javascript;react;api,deep-learning;ui-development,1,Frontend Developer Intern
javascript;api,frontend;ui-development,1,Frontend Developer Intern
python;fastapi;sql,visualization;backend,1,Backend Developer Intern
python;django;matplotlib,web-development;backend,0,Backend Developer Intern
git;ci-cd;ml;cnn,automation;infrastructure,1,Deep Learning Engineer Intern
api;sklearn;linear-algebra,deep-learning;experimentation,2,ML Engineer Intern
python;tensorflow,deep-learning;ai,1,Deep Learning Engineer Intern
html;css;git;react,single-page-apps;deployment,1,Data Scientist Intern
excel;sql;tableau,data-visualization;dashboards,2,Business Analyst Intern
python;docker;statistics,machine-learning;backend,1,ML Engineer Intern
javascript;react;api,frontend;infrastructure;web-design,1,Frontend Developer Intern
python;tensorflow;html,research;ui-development,2,ML Engineer Intern
python;powerbi;excel,dashboards;business-intelligence,0,Business Analyst Intern
javascript;api,computer-vision;ui-development,1,Frontend Developer Intern
html;css;aws,web-design;frontend,0,ML Engineer Intern
python;ml;statistics,machine-learning;etl,2,Data Scientist Intern
html;css;react,machine-learning;frontend,1,Data Scientist Intern
python;sql;excel;matplotlib,backend;reports,0,Data Scientist Intern
python;sql;r;flask,data-analysis;statistics,0,Backend Developer Intern
linux;docker;bash,nlp;devops;apis,1,DevOps Intern
python;kubernetes;cnn,modeling;deep-learning,3,ML Engineer Intern
react;django;html,web-development;automation,2,ML Engineer Intern
excel;javascript;tableau;kubernetes,data-visualization;backend,1,Frontend Developer Intern
python;html;cnn,machine-learning;deep-learning,3,Deep Learning Engineer Intern
python;pytorch;numpy,reporting;deep-learning,1,Deep Learning Engineer Intern
python;tensorflow;nn;bash,deep-learning;computer-vision;deployment,2,Deep Learning Engineer Intern
linux;docker;bash,apis;devops;nlp,0,DevOps Intern
cnn;powerbi;sql,dashboards;reporting,0,ML Engineer Intern
linux;docker;bash;python,deployment;devops;automation,1,DevOps Intern
python;django,web-development;backend,1,Backend Developer Intern
tensorflow;css;react;docker,backend;frontend,0,ML Engineer Intern
python;pytorch;cnn;css,computer-vision;apis,3,Deep Learning Engineer Intern
linux;docker;linear-algebra,deployment;devops,1,ML Engineer Intern
python;bash;sklearn,dashboards;devops,2,Data Scientist Intern
python;django;javascript,web-development;backend,1,Backend Developer Intern
python;pandas;r,data-analysis;statistics;ui-development,1,Backend Developer Intern
python;fastapi;aws,apis;visualization,0,Backend Developer Intern
excel;python;sql;ci-cd,dashboards;experimentation,2,Data Scientist Intern
python;numpy;r,data-analysis;business-intelligence,0,SRE Intern
tableau;sql;r,visualization;statistics,0,Business Analyst Intern
cnn;tensorflow;nn,deep-learning;automation,2,ML Engineer Intern
react;docker;bash,deployment;devops,1,Frontend Developer Intern
python;tensorflow;nn,deep-learning;ai;web-design,2,ML Engineer Intern
python;sql;excel,ai;reports,0,Data Analyst Intern
javascript;powerbi;sql,dashboards;deployment,0,Frontend Developer Intern
python;ml;pandas,machine-learning;research;devops,1,Data Scientist Intern
javascript;statistics;api,frontend;ui-development,2,ML Engineer Intern
python;javascript;r,dashboards;statistics,1,Frontend Developer Intern
linux;docker;nn;matplotlib,deployment;reporting,2,ML Engineer Intern
html;css;react,visualization;frontend,2,ML Engineer Intern
python;pytorch;cnn,computer-vision;business-intelligence,3,Deep Learning Engineer Intern
excel;sql;tableau,data-visualization;reporting,0,Business Analyst Intern
python;tensorflow;sql,deep-learning;web-design,3,ML Engineer Intern
react;powerbi;excel,dashboards;deployment,1,Frontend Developer Intern
python;sql;r,data-analysis;statistics;experimentation,2,Data Analyst Intern
excel;aws;sql,dashboards;devops,2,DevOps Intern
sklearn;powerbi;sql;react,dashboards;reporting,0,Data Scientist Intern
docker;sql;r,ai;statistics,0,DevOps Intern
python;statistics;linear-algebra,data-visualization;experimentation,2,Data Scientist Intern
html;css;fastapi,infrastructure;frontend,1,ML Engineer Intern
python;sql;excel,data-analysis;reports,1,Data Scientist Intern
django;react;api,frontend;dashboards,2,Backend Developer Intern
python;sklearn;linear-algebra,visualization;experimentation,2,ML Engineer Intern
python;sql;excel,data-analysis;reporting,1,Data Analyst Intern
sklearn;powerbi;excel,devops;business-intelligence,1,ML Engineer Intern
python;nn,deep-learning;reporting,2,Deep Learning Engineer Intern
python;sklearn;flask,machine-learning;experimentation;data-visualization,3,ML Engineer Intern
pandas;react;api,frontend;ui-development,1,Frontend Developer Intern
javascript;react;api;excel,frontend;nlp,0,Frontend Developer Intern
react;pytorch;cnn,computer-vision;deep-learning,1,ML Engineer Intern
javascript;react;api;docker,infrastructure;ui-development,1,Frontend Developer Intern
excel;powerbi;statistics,dashboards;reporting;single-page-apps,0,ML Engineer Intern
python;ml;statistics;sklearn,data-visualization;research,2,Data Scientist Intern
python;sql;r,data-analysis;modeling,1,Data Scientist Intern
r;tensorflow;nn;linear-algebra,deep-learning;cloud,2,Deep Learning Engineer Intern
python;sklearn;statistics;pandas,machine-learning;research,1,ML Engineer Intern
python;pytorch;cnn,computer-vision;deep-learning,2,Deep Learning Engineer Intern
python;sql;excel,data-analysis;reports,0,Data Analyst Intern
python;ml;linux,experimentation;research;deep-learning,0,Data Scientist Intern
numpy;css;react,automation;frontend,1,Frontend Developer Intern
api;django;html,web-development;experimentation;automation,1,ML Engineer Intern
linux;docker;bash,reporting;devops,0,DevOps Intern
javascript;django;html,web-development;visualization,1,ML Engineer Intern
flask;sklearn;linear-algebra,modeling;experimentation,1,ML Engineer Intern
python;django;html,web-development;backend,1,Data Scientist Intern
python;sql;statistics,machine-learning;devops,2,Data Scientist Intern
excel;powerbi;sql,data-analysis;reporting,0,Business Analyst Intern
pandas;sklearn;linear-algebra,modeling;experimentation,3,Data Scientist Intern
python;kubernetes;nn,deep-learning;web-design,2,ML Engineer Intern
python;sql;r,data-analysis;web-development,2,Data Scientist Intern
ml;sql,data-visualization;dashboards,1,Data Scientist Intern
python;sql;excel,data-analysis;machine-learning,0,Data Scientist Intern
python;api;excel,data-analysis;apis,0,ML Engineer Intern
git;docker,experimentation;infrastructure,1,DevOps Intern
html;python;javascript,web-design;frontend,1,Data Scientist Intern
excel;tensorflow;tableau,data-visualization;dashboards,2,ML Engineer Intern
git;pytorch;cnn,computer-vision;deep-learning,2,Deep Learning Engineer Intern
git;ci-cd;docker,research;infrastructure;apis,1,DevOps Intern
python;tensorflow;excel,dashboards;business-intelligence,1,ML Engineer Intern
api;fastapi;sql,apis;business-intelligence,2,Backend Developer Intern
javascript;react;api,frontend;visualization,2,Frontend Developer Intern
python;django;linux,web-development;backend,1,Backend Developer Intern
nn;ml;statistics;sklearn,machine-learning;data-visualization,1,ML Engineer Intern
python;sql;numpy,data-analysis;deployment,0,Data Analyst Intern
excel;powerbi;sql,dashboards;reporting,2,Business Analyst Intern
python;django;html,web-development;backend;experimentation,0,ML Engineer Intern
linux;docker;bash;pandas,deployment;devops,2,DevOps Intern
python;powerbi;excel,dashboards;business-intelligence,1,Business Analyst Intern
python;sql;excel,deployment;reports,0,Data Scientist Intern
excel;powerbi;sql;linear-algebra,dashboards;reporting,1,Data Scientist Intern
python;fastapi;sql,single-page-apps;backend;machine-learning,1,Backend Developer Intern
ml;tensorflow;nn,deep-learning;cloud;apis,2,ML Engineer Intern
python;sklearn;linear-algebra,modeling;backend,2,ML Engineer Intern
python;sklearn;linear-algebra,modeling;experimentation,2,Data Scientist Intern
html;css;react;cnn,single-page-apps;etl,2,ML Engineer Intern
python;ml;statistics,machine-learning;research,0,ML Engineer Intern
linux;docker;css,research;devops,1,Frontend Developer Intern
linear-algebra;powerbi;sql,dashboards;ai,0,ML Engineer Intern
python;fastapi;ml,apis;backend,1,ML Engineer Intern
flask;docker;bash,deployment;devops;backend,1,Backend Developer Intern
sql;docker;bash;fastapi,deployment;devops,2,Backend Developer Intern
html;react;javascript,web-design;ui-development,0,ML Engineer Intern
python;sql;excel,data-analysis;reports,1,Data Analyst Intern
linear-algebra;tensorflow;nn,nlp;ai,2,ML Engineer Intern
tableau;django;html,web-development;ai,1,ML Engineer Intern
python;django;html,web-development;data-visualization,2,ML Engineer Intern
html;react;javascript,web-design;frontend,1,Data Scientist Intern
sql;css;react,single-page-apps;cloud;etl,1,Frontend Developer Intern
python;statistics;nn;html,deep-learning;infrastructure,1,Deep Learning Engineer Intern
javascript;react;api,frontend;ui-development,0,Frontend Developer Intern
html;linear-algebra;react,single-page-apps;statistics,1,ML Engineer Intern
html;css;javascript,apis;frontend,0,ML Engineer Intern
aws;tensorflow;nn;bash,deep-learning;reporting,3,Deep Learning Engineer Intern
html;css;react,experimentation;frontend;etl,0,ML Engineer Intern
linux;docker;bash,deployment;devops,0,DevOps Intern
javascript;react;api,frontend;single-page-apps,2,Frontend Developer Intern
python;pandas;sql,apis;business-intelligence,1,Data Analyst Intern
matplotlib;css;react;api,ui-development;frontend,1,Frontend Developer Intern
python;powerbi;excel,ai;business-intelligence;reports,1,Business Analyst Intern
python;powerbi;flask,reporting;business-intelligence,1,Backend Developer Intern
html;css;react,dashboards;frontend,2,Data Scientist Intern
linux;docker;bash,deployment;devops,2,DevOps Intern
python;linux;nn,deep-learning;ai,2,ML Engineer Intern
python;sklearn;linear-algebra;matplotlib,modeling;reporting,2,ML Engineer Intern
html;css,single-page-apps;research,1,Data Scientist Intern
r;ci-cd;docker,automation;infrastructure,2,DevOps Intern
excel;sql;tableau,data-visualization;dashboards,0,Business Analyst Intern
linux;javascript;bash,ai;devops,1,Frontend Developer Intern
python;sql;r,data-analysis;statistics,2,Data Scientist Intern
excel;sql,dashboards;ai,2,Full Stack Intern
python;ml;statistics,machine-learning;research,1,ML Engineer Intern
python;django;html,web-development;backend,2,ML Engineer Intern
python;sklearn;linear-algebra,modeling;cloud,2,ML Engineer Intern
linux;docker;bash,deployment;automation;backend,1,DevOps Intern
git;ci-cd;docker,automation;infrastructure,1,DevOps Intern
git;docker,backend;infrastructure,2,DevOps Intern
python;ml;statistics,machine-learning;web-development,2,ML Engineer Intern
python;tensorflow;nn,automation;ai,3,ML Engineer Intern
python;sql;excel,web-design;reports,0,Data Analyst Intern
python;fastapi;sql;powerbi,ui-development;backend,0,Backend Developer Intern
r;javascript,web-design;frontend,0,Frontend Developer Intern
python;git;linear-algebra,modeling;experimentation;statistics,2,ML Engineer Intern
excel;sql;django,data-visualization;dashboards;frontend,0,Backend Developer Intern
python;sql;flask,data-analysis;experimentation;frontend,0,Backend Developer Intern
flask;fastapi;sql,apis;backend,1,Backend Developer Intern
python;react;api,automation;ui-development,1,Frontend Developer Intern
python;git;r,data-analysis;modeling,1,Frontend Developer Intern
python;flask;excel,data-analysis;reports,0,Backend Developer Intern
python;sklearn;linear-algebra,dashboards;experimentation,2,Data Scientist Intern
git;ci-cd;docker,web-design;infrastructure;devops,1,DevOps Intern
python;sql;excel;kubernetes,data-analysis;etl,0,DevOps Intern
linux;docker;kubernetes,deployment;cloud,1,DevOps Intern
linux;statistics;bash,deployment;devops,0,ML Engineer Intern
javascript;react;api,dashboards;ui-development,1,Frontend Developer Intern
python;r;excel,dashboards;business-intelligence,0,Frontend Developer Intern
python;cnn;excel,etl;business-intelligence,1,ML Engineer Intern
excel;sql;tableau,data-visualization;infrastructure;reporting,2,Business Analyst Intern
pandas;powerbi,dashboards;research,2,Business Analyst Intern
powerbi;fastapi;sql,apis;backend,0,Backend Developer Intern
python;ml;api,machine-learning;infrastructure,2,ML Engineer Intern
python;django;excel,web-development;backend,0,Backend Developer Intern
python;tensorflow;nn,statistics;ai;cloud,2,Deep Learning Engineer Intern
python;cnn;excel,dashboards;web-development,1,ML Engineer Intern
sklearn;tensorflow;nn,deep-learning;experimentation,3,Deep Learning Engineer Intern
python;html;excel,dashboards;deployment,1,Data Scientist Intern
html;css;matplotlib,single-page-apps;frontend;apis,1,ML Engineer Intern
python;sklearn;linear-algebra,modeling;experimentation,1,Data Scientist Intern
python;pytorch;aws,computer-vision;deep-learning,2,Deep Learning Engineer Intern
kubernetes;sklearn;linear-algebra,modeling;ai,2,Data Scientist Intern
python;tensorflow;react,web-development;ai,2,Deep Learning Engineer Intern
docker;bash,deployment;single-page-apps,1,DevOps Intern
statistics;sklearn;linear-algebra,modeling;experimentation,2,ML Engineer Intern
excel;css;tableau,single-page-apps;dashboards,1,Frontend Developer Intern
excel;sql;tableau,data-visualization;dashboards,2,Business Analyst Intern
python;fastapi;excel,data-analysis;experimentation;apis,0,Backend Developer Intern
javascript;pytorch;api,frontend;ui-development;machine-learning,1,Deep Learning Engineer Intern
python;django;html,web-development;ai;business-intelligence,1,Data Scientist Intern
python;sql;excel;git,data-analysis;experimentation,1,Data Scientist Intern
linux;docker;excel,deployment;modeling,1,DevOps Intern
python;flask;sql,apis;backend,0,Backend Developer Intern
python;sql;excel;ci-cd,data-analysis;visualization,2,Data Scientist Intern
bash;sklearn;linear-algebra,modeling;experimentation,1,Data Scientist Intern
python;powerbi;git;javascript,dashboards;computer-vision,1,Frontend Developer Intern
excel;sql;tableau,data-visualization;dashboards,0,Business Analyst Intern
git;ci-cd;aws,automation;infrastructure,2,DevOps Intern
linux;cnn,deployment;devops,1,Deep Learning Engineer Intern
python;tensorflow;react,deployment;ai,1,ML Engineer Intern
aws;sklearn;linear-algebra,research;experimentation,2,ML Engineer Intern
linux;docker;bash,deployment;experimentation,1,DevOps Intern
python;fastapi;sql,apis;computer-vision,2,Backend Developer Intern
python;powerbi;excel,dashboards;experimentation,2,Business Analyst Intern
python;sql;excel,data-analysis;reports,0,Data Analyst Intern
python;powerbi;html,dashboards;business-intelligence,0,ML Engineer Intern
linux;docker;bash,deployment;devops,0,DevOps Intern
python;powerbi;excel,dashboards;deep-learning,2,Business Analyst Intern
linux;docker;powerbi,deployment;experimentation,1,Business Analyst Intern
html;css;sql,web-design;frontend,0,Data Scientist Intern
html;pytorch;cnn,computer-vision;business-intelligence,2,Deep Learning Engineer Intern
cnn;sklearn;linear-algebra,modeling;experimentation,2,ML Engineer Intern
html;django;javascript;pandas,data-visualization;frontend,1,Data Scientist Intern
python;ci-cd;cnn,statistics;deep-learning,1,ML Engineer Intern
python;powerbi;excel,dashboards;infrastructure,1,Business Analyst Intern
python;aws;sql,apis;backend,2,DevOps Intern
python;django;sql,visualization;backend,1,Backend Developer Intern
python;pytorch;excel,statistics;reports;deployment,0,Deep Learning Engineer Intern
javascript;sklearn;api,frontend;deep-learning,1,Data Scientist Intern
python;powerbi;excel;css,dashboards;single-page-apps,1,Frontend Developer Intern
ml;tensorflow;nn,deep-learning;modeling;apis,3,ML Engineer Intern
python;powerbi;tableau,dashboards;machine-learning,1,Business Analyst Intern
python;django;html,web-development;backend,1,ML Engineer Intern
python;django;html,web-development;deployment,1,Data Scientist Intern
git;ci-cd;excel,frontend;infrastructure,1,Frontend Developer Intern
javascript;react;api,deployment;ui-development,1,Frontend Developer Intern
python;powerbi;r,dashboards;ui-development,1,Business Analyst Intern
ci-cd;sql,dashboards;visualization,1,ML Engineer Intern
python;sql;css,ai;reports,1,Frontend Developer Intern
sklearn;powerbi;excel,dashboards;research,2,ML Engineer Intern
excel;sql;r,data-analysis;statistics,0,Business Analyst Intern
python;aws;cnn,single-page-apps;deep-learning,1,Deep Learning Engineer Intern
git;ci-cd;docker,web-design;infrastructure,1,DevOps Intern
tensorflow;sql;r,apis;statistics,1,Deep Learning Engineer Intern
django;html,web-development;backend,1,Data Scientist Intern
python;powerbi;sklearn,dashboards;business-intelligence,1,ML Engineer Intern
python;tensorflow;excel,data-analysis;cloud,1,Deep Learning Engineer Intern
excel;sql;tableau,data-visualization;dashboards,2,Business Analyst Intern
fastapi;sql;excel,data-analysis;reports,0,Backend Developer Intern
cnn;tensorflow;nn,nlp;ai;business-intelligence,2,Deep Learning Engineer Intern
ml;css;javascript;sql,cloud;frontend;devops,0,ML Engineer Intern
powerbi;excel,dashboards;business-intelligence;computer-vision,1,Business Analyst Intern
css;ci-cd;docker,automation;deep-learning;modeling,1,Frontend Developer Intern
html;sql;javascript,web-design;modeling;automation,1,Data Scientist Intern
python;sklearn;r,modeling;experimentation,3,Data Scientist Intern
html;git;react,web-design;frontend;cloud,1,Data Scientist Intern
python;sql;r,data-analysis;research,0,Data Scientist Intern
powerbi;excel,dashboards;ai,0,Business Analyst Intern
python;fastapi;pandas,apis;single-page-apps,1,Backend Developer Intern
html;django;javascript,automation;frontend,0,ML Engineer Intern
html;css;react,single-page-apps;ai,0,Data Scientist Intern
python;fastapi;sql,apis;reporting,0,Backend Developer Intern
python;linux;statistics,machine-learning;research,2,Data Scientist Intern
css;javascript,web-design;frontend,0,Frontend Developer Intern
git;ci-cd;docker;excel,automation;infrastructure,0,DevOps Intern
linux;docker;react,deployment;devops,1,Frontend Developer Intern
python;tensorflow;statistics,deep-learning;ai,2,Deep Learning Engineer Intern
bash;sklearn;linear-algebra;ci-cd,modeling;dashboards;visualization,2,Data Scientist Intern
kubernetes;ml;statistics;excel,reports;research;deep-learning,2,ML Engineer Intern
cnn;css;react,single-page-apps;frontend,1,ML Engineer Intern
tensorflow;excel,dashboards;business-intelligence,1,Deep Learning Engineer Intern
linux;docker;bash,computer-vision;devops,1,DevOps Intern
css;django;html,web-development;backend,0,Data Scientist Intern
html;css;javascript,web-design;frontend,0,Data Scientist Intern
python;bash;r,data-analysis;statistics,2,Data Scientist Intern
html;css;react;powerbi,single-page-apps;business-intelligence,1,ML Engineer Intern
python;tensorflow;nn,infrastructure;ai,3,ML Engineer Intern
python;pytorch;tableau,data-analysis;deep-learning,3,ML Engineer Intern
ci-cd;ml;statistics,machine-learning;research,0,ML Engineer Intern
excel;react,single-page-apps;frontend,1,Frontend Developer Intern
python;ml;tensorflow,machine-learning;research,1,Deep Learning Engineer Intern
excel;powerbi;sql,dashboards;data-visualization;frontend,2,Business Analyst Intern
python;react;html,web-development;deployment,2,ML Engineer Intern
python;tensorflow;r,deep-learning;ai,3,ML Engineer Intern
python;linear-algebra;statistics,frontend;research;reporting,1,Data Scientist Intern
